 time            i(VIin)         v(Vout)        
 3.54717101e-08  3.31135308e-06  6.43280146e-01 
 3.55000000e-08  3.31456046e-06  6.43598776e-01 
 3.55149384e-08  3.31625388e-06  6.43755113e-01 
 3.55448151e-08  3.31964026e-06  6.44070446e-01 
 3.56045686e-08  3.32641120e-06  6.44702810e-01 
 3.57240756e-08  3.33994576e-06  6.45963860e-01 
 3.59630895e-08  3.36698548e-06  6.48478849e-01 
 3.64411174e-08  3.42094648e-06  6.53475957e-01 
 3.73971731e-08  3.52838797e-06  6.63355395e-01 
 3.93092846e-08  3.74129468e-06  6.82712557e-01 
 3.95000000e-08  3.76238204e-06  6.84616238e-01 
 3.95500000e-08  3.76790600e-06  6.85109185e-01 
 3.96500000e-08  3.77894829e-06  6.86112067e-01 
 3.98215906e-08  3.79787822e-06  6.87925283e-01 
 3.99921518e-08  3.81667247e-06  6.89182582e-01 
 4.00000000e-08  3.81753674e-06  6.89215476e-01 
 4.00156964e-08  3.81926513e-06  6.89297322e-01 
 4.00470892e-08  3.82272136e-06  6.89461740e-01 
 4.01047851e-08  3.82907149e-06  6.89765256e-01 
 4.02201769e-08  3.84176414e-06  6.90374947e-01 
 4.04509606e-08  3.86711887e-06  6.91605989e-01 
 4.09125278e-08  3.91770531e-06  6.94110835e-01 
 4.18356623e-08  4.01838017e-06  6.99272212e-01 
 4.36819314e-08  4.21769046e-06  7.10067582e-01 
 4.50000000e-08  4.35826795e-06  7.18073543e-01 
 4.50500000e-08  4.36357196e-06  7.18394781e-01 
 4.51500000e-08  4.37417363e-06  7.19019515e-01 
 4.53292842e-08  4.39315948e-06  7.20389936e-01 
 4.54715284e-08  4.40820341e-06  7.21894947e-01 
 4.55000000e-08  4.41121252e-06  7.22228493e-01 
 4.55149225e-08  4.41278938e-06  7.22395077e-01 
 4.55447675e-08  4.41594253e-06  7.22730429e-01 
 4.56044576e-08  4.42224654e-06  7.23399914e-01 
 4.57238377e-08  4.43484541e-06  7.24723741e-01 
 4.59625980e-08  4.46000642e-06  7.27323295e-01 
 4.64401184e-08  4.51018075e-06  7.32357418e-01 
 4.73951594e-08  4.60993240e-06  7.41960015e-01 
 4.93052413e-08  4.80699740e-06  7.60117344e-01 
 4.95000000e-08  4.82690480e-06  7.61913709e-01 
 4.95500000e-08  4.83200995e-06  7.62363912e-01 
 4.96500000e-08  4.84221336e-06  7.63275368e-01 
 4.98214876e-08  4.85968945e-06  7.64935105e-01 
