 yes             code            v(D1)           v(D2)           v(d3)           v(d4)           v(d5)           i(viin)         i(vidump)      
 1.00000000e+00  0.00000000e+00  2.13104802e-07  2.13104802e-07  2.13104802e-07  2.13104802e-07  2.13104802e-07 -9.90938081e-06  2.24177519e-05 
 1.00000000e+00  1.00000000e+00  1.79999999e+00  2.13104734e-07  2.13104734e-07  2.13104734e-07  2.13104802e-07 -8.66904162e-06  2.23990036e-05 
 1.00000000e+00  2.00000000e+00  1.79999999e+00  1.79999999e+00  2.13104734e-07  2.13104734e-07  2.13104802e-07 -7.42829536e-06  2.23804737e-05 
 1.00000000e+00  3.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  2.13104734e-07  2.13104802e-07 -6.18720160e-06  2.23621229e-05 
 1.00000000e+00  4.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  2.13104802e-07 -4.94581474e-06  2.23439158e-05 
 1.00000000e+00  5.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00 -3.70418778e-06  2.23258204e-05 
 1.00000000e+00  6.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00 -2.46237123e-06  2.23078073e-05 
 1.00000000e+00  7.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00 -1.22041384e-06  2.22898494e-05 
 1.00000000e+00  8.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  2.16365628e-08  2.22719217e-05 
 1.00000000e+00  9.00000000e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.26373235e-06  2.22540007e-05 
 1.00000000e+00  1.00000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  2.50582627e-06  2.22360643e-05 
 1.00000000e+00  1.10000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  3.74787053e-06  2.22180917e-05 
 1.00000000e+00  1.20000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  4.98981702e-06  2.22000629e-05 
 1.00000000e+00  1.30000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  6.23161487e-06  2.21819588e-05 
 1.00000000e+00  1.40000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  7.47321283e-06  2.21637612e-05 
 1.00000000e+00  1.50000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  8.71455588e-06  2.21454523e-05 
 1.00000000e+00  1.60000000e+01  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  1.79999999e+00  9.95558641e-06  2.21270148e-05 
